"name","id","dedicatee","type","location","city","country","orientation","date","startdateearly","startdatelate","century","sex","dedicationday","deitytype","extant","source","meetings","note","vici.org","pleiades","dare","arachne","wikipedia","wikidata","longitude","latitude"
"Portunus","1000106","Portunus","temple","Forum Boarium","Rome","Italy","347","-120","-120","","-2","M","","god","","Stamper","","Vici.org; DARE","11602","494660670","22924","5932","","",12.480883,41.889232
"Quirinus","1000107","Quirinus","temple","Quirinal Hill","Rome","Italy","","-293","-293","","-3","M","","god","","","","","","","","","","","",""
"Robigo","1000108","Robigo","sanctuary","","Rome","Italy","","","","","","F","","nature","","","","DARE","","423024","37158","","","",12.447668,41.959271
"Salus","1000109","Salus","temple","Quirinal Hill","Rome","Italy","","-303","-303","","-4","F","","concept","","","","","","","","","","","",""
"Saturnus","1000110","Saturn","temple","Forum","Rome","Italy","32","-498","-498","","-5","M","","god","","","","Pleiades","15012","","","5644","","Q746721",12.484187,41.892666
"Sol","1000111","Sol","temple","Campus Agrippae","Rome","Italy","","-273","-273","","-3","M","","nature","","","","","","","","","","","",""
"Sol et Luna","1000112","Sol, Luna","temple","Circus Maximus","Rome","Italy","","-292-219","-292","-219","-3","M/F","28","nature","","","","","","","","","","","",""
"Spes","1000113","Spes","temple","Forum Holitorium","Rome","Italy","71","-258-249","-258","-249","-3","F","","concept","","","","","","","","10760","","",12.480052,41.890962
"Summanus","1000114","Summanus","temple","Circus Maximus","Rome","Italy","","-280-275","-280","-275","-3","M","","god","","","","","","","","","","","",""
"Sybil","1000115","Sybil","temple","","Tivoli","Italy","","-150-125","-150","-125","-2","F","","god","","Stamper","","Vici.org","","","","","","",12.800843,41.966809
"Tellus","1000116","Tellus","temple","Esquiline Hill","Rome","Italy","","-268","-268","","-3","F","","nature","","","senate","","","","","","","","",""
"Tempestates","1000117","Tempestates","temple","Porta Capena","Rome","Italy","","","","","","F","23","nature","","","","","","","","","","","",""
"Temple of S. Salvatore in Campo","1000118","","temple","","Rome","Italy","","","","","","","","","","","","","","","","3467479","","",12.474003,41.893685
"Tiberinus","1000119","Tiberinus","temple","Tiber Island","Rome","Italy","","-292-219","-292","-219","-3","M","","nature","","","","","","","","","","","",""
"Tomb of Cecilia Metella","1000120","","tomb","Via Appia","Rome","Italy","","","","","","","","","","","","Pleiades; vici.org","","423064","","","","",12.520981,41.852196
"Veiovis","1000121","Veiovis","temple","Inter duos lucos","Rome","Italy","","","","","","M","","god","","","","Pleiades","17964","","","1319962","","Q764141",12.483611,41.892776
"Venus et Roma","1000122","Venus, Rome","temple","","Rome","Italy","113","140-145","140","145","2","F","","god, city","","","","Pleiades","15008","","","7481","","",12.490168,41.890812
"Venus Genetrix","1000123","Venus","temple","Forum of Julius","Rome","Italy","130","-46","-46","","-1","F","","god","","Blake","","Pleiades","","","","5656","","",12.4848,41.8942
"Venus Obsequens","1000124","Venus","temple","Circus Maximus","Rome","Italy","","-290","-290","","-3","F","","god","","","","","","","","","","","",""
"Venus Victrix","1000125","Venus","temple","Campus Martius","Rome","Italy","90","-55","-55","","-1","F","","god","yes","Stamper","senate","Pleiades; coords modified","","","","","","",12.473014,41.895335
"Divus Vespasian et Divus Titus","1000126","Vespasian, Titus","temple","Forum","Rome","Italy","119","","","","","M","","emperor","","","","Pleiades","15042","","","5643","","Q731284",12.484081,41.892876
"Vesta","1000127","Vesta","temple","Forum","Rome","Itay","35","-575","-575","","-6","F","","god","","Stamper","","Pleiades","15010","","","8407","","",12.486141,41.891792
"Vesta","1000128","Vesta","temple","","Tivoli","Italy","190","early 1st-Century BCE","-99","-75","-1","F","","god","","","","Pleiades","","","","11457","","",12.8009,41.9667
"Vica Pota","1000129","Vica Pota","temple","Velian Hill","Rome","Italy","","-292-219","-292","-219","-3","F","","god","","","","","","","","","","","",""
"Victoria","1000130","Victoria","temple","Palatine Hill","Rome","Italy","219","-294","-294","","-3","F","","concept","","Stamper","","Pleiades","","","","","","",12.48521,41.889418
"Volcanus","1000131","Volcanus","temple","Campus Martius","Rome","Italy","","-292-219","-292","-219","-3","M","","god","","","","","","","","","","","",""
"Vortumnus","1000132","Vortumnus","temple","Aventine Hill","Rome","Italy","","-264","-264","","-3","M","13","god","","","","","","","","","","","",""
"Moneta","1000133","Moneta","temple","Alban Mount","","Italy","","-168","","","","F","","god","","","","","","","","","","","",""
"Janus Quadrifons","1000134","Janus","temple","Forum Transitorium","Rome","Italy","","81-96","81","","1","M","","god","","","","","","","","","","","",""
"Jupiter","10000135","","temple","Tiber Island","Rome","Italy","","","","","","","","","","","","","","","","","","","",""
