id,name,dedicatee,type,location,modernplace,ancientplace,pleiadesplace,country,latitude,longitude,orientation,compass,vowed,date,startdateearly,startdatelate,century,enddate,preceded,succeeded,sex,dedicationday,deitytype,culture,style,extant,source,meetings,note,vici,pleiades,dare,arachne,livius,wikipedia,wikidata,digitalromanforum,digitalesforumromanum,trismegistos,ads,cona,topostext,url,checked,gs
"1000086",Mithraeum Barberini,Mithras,mithraeum,,Rome,Rome,"423025",IT,41.902964,12.4891,,,,,,,,,,,,,,Roman,,,,,DARE,,,"45672",,,,,,,,,,,,,
"1000087",Mithraeum of Orazio Muti,Mithras,mithraeum,,Rome,Rome,"423025",IT,41.89981,12.485662,,,,,,,,,,,,,,Roman,,,,,DARE,,,"45673",,,,,,,,,,,,,
"1000088",Mithraeum of San Clemente,Mithras,mithraeum,,Rome,Rome,"423025",IT,41.889675,12.497281,,,,,,,,,,,,,,Roman,,,,,"Vici.org; DARE","23522",,"45666",,,,,,,,,,,,,
"1000089",Mithraeum of Santa Prisca,Mithras,mithraeum,,Rome,Rome,"423025",IT,41.883213,12.483655,,,,,,,,,,,,,,Roman,,,,,DARE,,,"45667",,,,,,,,,,,,,
"1000090",Mithraeum of Santo Stefano Rotondo,Mithras,mithraeum,,Rome,Rome,"423025",IT,41.884655,12.496744,,,,,,,,,,,,,,Roman,,,,,DARE,,,"45669",,,,,,,,,,,,,
"1000091",Mithraeum of the Baths of Caracalla,Mithras,mithraeum,,Rome,Rome,"423025",IT,41.879922,12.493118,,,,,,,,,,,,,,Roman,,,,,DARE,,,"45668",,,,,,,,,,,,,
"1000092",Mithraeum of the Campidoglio,Mithras,mithraeum,,Rome,Rome,"423025",IT,41.89291,12.482628,,,,,,,,,,,,,,Roman,,,,,DARE,,,"45675",,,,,,,,,,,,,
"1000093",Mithraeum of the Circus Maximus,Mithras,mithraeum,,Rome,Rome,"423025",IT,41.888114,12.482856,,,,,,,,,,,,,,Roman,,,,,DARE,,,"45670",,,,,,,,,,,,,
"1000094",Mithraeum of the Crypta Balbi,Mithras,mithraeum,,Rome,Rome,"423025",IT,41.894242,12.479176,,,,,,,,,,,,,,Roman,,,,,"DARE; coords updated",,,"45674",,,,,,,,,,,,,
"1000095",Mithraeum of the Esquiline,Mithras,mithraeum,,Rome,Rome,"423025",IT,41.894894,12.501063,,,,,,,,,,,,,,Roman,,,,,DARE,,,"45671",,,,,,,,,,,,,
"1000096",Temple,,temple,Monte del Grano,Rome,Rome,"423025",IT,41.865272,12.549292,,,,,,,,,,,,,,Roman,,,,,,,"422973",,,,,,,,,,,,,,
"1000097",Temple of Neptune,Neptune,temple,Circus Flaminius,Rome,Rome,"423025",IT,,,,,-257-229,-257-229,"-257","-229","-3",,,,M,December 1,god,Roman,,,,,,,,,"3467478",,Temple_of_Neptune_(Rome),Q2489646,,,,,,419125SNpt,,,
"1000098",Nymphaeum of the Villa dei Quintili,Nymphs,temple,,Rome,Rome,"423025",IT,41.8279699,12.5480362,,,,,,,,,,,F,,god,Roman,,,,,DARE,,,"23839",,,,,,,,,,,,,
"1000099",Nymphaeum Septizodium,Nymphs,temple,Campus Martius,Rome,Rome,"423025",IT,41.885632,12.488719,,,,,,,,,,,F,,god,Roman,,,,,Vici.org,"17962",,,,,,Q1234446,,,,,,,,,
