id,lat,long
"365231PBoi - Boiai (Lakonia)",36.517,23.062
"365253IThe - Therasia (Thera)",36.4524,25.3401
"365264PAst - Astypalaia (Dodecanese)",36.544,26.355
"365273PTel - Telos (Dodecanese)",36.4555,27.347
"365279ITeu - Teutloussa (Dodecanese)",36.5238,27.868
"365292LAnt - Antikragos Mt. (Lycia)",36.5283,29.185
"365292UPin - Pinara (Lycia)",36.4921,29.2587
"365295RLyc - Lycia region (Asia Minor)",36.5,29.5
"365306PPha - Phaselis (Lycia)",36.524,30.552
"365342PCor - Corycus (Cilicia)",36.464,34.151
"366225SAig - Aigila sanct. (Lakonia)",36.5591,22.4662
"366225UTeu - Teuthrone (Lakonia)",36.6211,22.4891
"366249PPho - Pholegandros (Cyclades)",36.6302,24.9255
"366250ILag - Lagousa (Sikinos)",36.63,25.02
"366271UArg - Argos (Nisyros)",36.5738,27.1558
"366272PNis - Nisyros (Dodecanese)",36.6065,27.1309
"366278PSym - Syme (Dodecanese)",36.6128,27.8374
"366280ULor - Loryma (Caria)",36.566,28.015
"366291UKar - Karmylessos (Lycia)",36.5775,29.0949
"366291UTel - Telmessos (Lycia)",36.6209,29.1058
"366294UTlo - Tlos (Lycia)",36.5535,29.42
"367151LPac - Pachynos cape (Sicily)",36.67,15.131
"367219IThe - Theganoussa (Messenia)",36.697,21.887
"367222PAsi - Asine? (Messenia)",36.794,21.961
"367224UOit - Oitylos (Lakonia)",36.7051,22.3848
"367224UPyr - Pyrrichos (Lakonia)",36.654,22.431
"367225PLas - Las (Lakonia)",36.7255,22.4982
"367228PLeu - Leukai (Lakonia)",36.827,22.875
"367228UKyp - Kyparissia (Lakonia)",36.693,22.818
"367229SHyp - Hyperteleaton (Lakonia)",36.7308,22.9017
"367229UAso - Asopos (Lakonia)",36.6845,22.8426
"367229UKot - Kotyrta (Lakonia)",36.649,22.891
"367230UEpi - Epidauros Limera (Lakonia)",36.731,23.026
"367244PMel - Melos (Cyclades)",36.7389,24.4199
"367251PSik - Sikinos (Cyclades)",36.662,25.0901
"367253PIos - Ios (Cyclades)",36.7233,25.2822
"367254SPhy - Poseidon Phytalmios sanct. (Ios)",36.7332,25.3673
"367274PKni - Cnidos (Caria)",36.6862,27.374
"367275UTri - Triopion (Caria)",36.6848,27.493
"367276USta - Stadia (Caria)",36.7422,27.6483
"367281UTym - Tymnos (Caria)",36.6905,28.0622
"367282USyr - Syrna (Caria)",36.7152,28.1753
"367288UKal - Kalynda (Lycia)",36.7503,28.836
"367288ULis - Lissa (Lycia)",36.6706,28.8245
"367289ITel - Telandria (Lycia)",36.6547,28.9162
"367289UTel - Telandros (Lycia)",36.6744,28.9166
"367345PSol - Soloi (Cilicia)",36.742,34.539
"368151PHel - Helorus (Sicily)",36.8424,15.1073
"368217IOin - Oinoussai (Messenia)",36.75,21.74
"368217UMot - Methone (Messenia)",36.817,21.705
"368218LAkr - Akritas cape (Messenia)",36.719,21.877
"368218LMat - Mathia Mt. (Messenia)",36.93,21.858
"368218UPho - Phoinikous (Messenia)",36.806,21.804
"368219UKol - Kolonides (Messenia)",36.8361,21.9288
"368223LKal - Kalathion Mt. (Messenia)",36.92,22.17
"368223PTha - Thalamai (Messenia)",36.7862,22.3257
"368223ULeu - Leuktron (Messenia)",36.843,22.2652
"368223UPep - Pephnos (Messenia)",36.8124,22.2968
"368223WPam - Pamisos? R. (Messenia)",36.819,22.301
"368223WSme - Smenos R. (Lakonia)",36.727,22.501
"368225UAig - Aigiai (Lakonia)",36.7863,22.5129
"368226FTri - Trinasos (Lakonia)",36.796,22.602
"368226IKra - Kranai (Lakonia)",36.7543,22.5736
"368226PGyt - Gytheion (Lakonia)",36.7637,22.5623
"368226UHel - Helos (Lakonia)",36.8432,22.6075
"368228LKro - Kronios (Eleia)",37.641,21.631
"368228PEti - Etis? (Lakonia)",36.489,23.066
"368228UAkk - Akakesion (Arkadia)",37.39,22.05
"368228UAkr - Akriai (Lakonia)",36.8,22.792
"368228UAmp - Amphigeneia? (Messenia)",37.2453,21.7474
"368228UBia - Biandyna (Lakonia)",36.7528,22.8016
"368228UBup - Bouprasion? (Eleia)",37.81,21.45
"368228UEni - Enispe? (Arkadia)",37.6,22.2
