id,ancient_name,lat,long,name,pleiades,latlong,country,city
18074,,43.681944,5.197222,"Château-Bas, Vernègues",148046,"43.681944,5.197222",FR, Vernègues
2130,Riobe?,48.5932,3.109,Châteaubleau,108879,"48.5932,3.109",FR, Châteaubleau
39298,,45.2499,4.79432,"Châtelet, Saint-Désirat",,"45.2499,4.79432",FR, Saint-Désirat
39458,,47.413,0.9903,"Châteliers, Amboise",,"47.413,0.9903",FR, Amboise
37091,,30.31731,50.907919,Chahar Deh,922629,"30.31731,50.907919",IR, Sarab e Naniz
17719,,44.878459,4.575892,Chalencon,167707,"44.878459,4.575892",FR, Chalencon
13742,[Camelaria],45.76829,3.05711,Chamalières,138260,"45.76829,3.05711",FR, Chamalières
20621,,46.547469,2.112692,Champillet,,"46.547469,2.112692",FR, Champillet
13002,,49.30994,2.85374,Champlieu,108876,"49.30994,2.85374",FR, Orrouy
18237,,44.466806,3.340478,Chanac,167709,"44.466806,3.340478",FR, Chanac
15648,,47.4724573,0.702594,Chanceaux-sur-Choisille,138286,"47.4724573,0.702594",FR, Chanceaux-sur-Choisille
44408,,50.896526,-0.381622,"Chanctonbury Ring, Washington",,"50.896526,-0.381622",GB, 
37188,,33.5586,46.499199,Changiyeh,903007,"33.5586,46.499199",IR, Ghajar
45692,,46.628159,0.332792,"Chardonchamp, Migné-Auxances",,"46.628159,0.332792",FR, Migné-Auxances
36601,Hyperteleaton,36.732977,22.904198,Chasanaga,570302,"36.732977,22.904198",GR, 
38850,,46.85029063,6.537851604,"Chasseron, Bullet",,"46.85029063,6.537851604",CH, Bullet
25585,,51.818115,-1.912619,Chedworth temple,,"51.818115,-1.912619",GB, 
36563,,36.328033,6.451106,Chettaba,305060,"36.328033,6.451106",DZ, Aïn Smara
39297,,46.07193,1.3012,"Chez Rigros, Saint-Pardoux",,"46.07193,1.3012",FR, Saint-Pardoux
45678,,42.2398,12.2269,"Chiesa della Madonna del Parto, Sutri",,"42.2398,12.2269",IT, Sutri
42237,,42.73322,12.73713,"Chiesa di Sant'Ansano, Spoleto",,"42.73322,12.73713",IT, Spoleto
36766,,38.573501,21.702461,Chrysovitsa,540866,"38.573501,21.702461",GR, Chrisovitsa
26568,,42.308926,13.445949,"Civita di Bagno, L'Aquila",413085,"42.308926,13.445949",IT, Civita di Bagno
20553,,47.9961430832,2.6763175927,"Clos du Détour, Pannes",,"47.9961430832,2.6763175927",FR, Pannes
42229,,50.05582,1.938265,Cocquerel,,"50.05582,1.938265",FR, Cocquerel
26579,,42.03097,13.77515,Cocullo,432791,"42.03097,13.77515",IT, Cocullo
25626,,51.141012,-2.24438,Cold Kitchen Hill,,"51.141012,-2.24438",GB, 
25551,,52.512044,-1.714101,Coleshill,79397,"52.512044,-1.714101",GB, Coleshill
17809,*Ganuenta?,51.617485,3.823757,Colijnsplaat,109000,"51.617485,3.823757",NL, Colijnsplaat
26472,,41.50493,14.56255,"Colle Sparanise, Colle d'Anchise",432796,"41.50493,14.56255",IT, 
39558,,47.037798353,7.087328205,Colline du Jolimont,,"47.037798353,7.087328205",CH, Erlach
44404,,52.593693,-0.514395,Collyweston,,"52.593693,-0.514395",GB, 
17324,,46.030545,5.498806,Corlier,167726,"46.030545,5.498806",FR, Corlier
36767,Korykion Antron,38.51526,22.52073,Corycian Cave,540883,"38.51526,22.52073",GR, 
18211,,44.20858,3.409085,Costeguison,148061,"44.20858,3.409085",FR, Meyrueis
20067,,44.124693,4.582036,"Courac, Tresques",,"44.124693,4.582036",FR, Tresques
20754,,45.754178,3.538632,Courpière,,"45.754178,3.538632",FR, Courpière
17686,,45.72792,3.968177,Couzan,167889,"45.72792,3.968177",FR, Sail-sous-Couzan
16983,,47.8693833,2.8278507,"Craon, Montbouy",138468,"47.8693833,2.8278507",FR, Montbouy
26593,,41.73144,12.95403,"Crepaddosso, Artena",422913,"41.73144,12.95403",IT, Quarto Chilometro
44412,,52.583516,1.080879,"Crownthorpe, Wicklewood",,"52.583516,1.080879",GB, 
18055,,43.774167,5.439444,Cucuron,148064,"43.774167,5.439444",FR, Cucuron
36996,,38.003688,-6.53533,Cueva del Agua,256142,"38.003688,-6.53533",ES, Cañaveral de León
17718,,44.995272,4.516512,Désaignes,167740,"44.995272,4.516512",FR, Désaignes
36892,Parembole?,23.89787,32.86451,Dabod,795840,"23.89787,32.86451",EG, 
43286,,33.69133,35.876608,Dakoue,,"33.69133,35.876608",LB, 
21089,,33.511552,36.3038,"Damascus, Temple of Jupiter",,"33.511552,36.3038",SY, Damascus
21085,,33.51171,36.30661,"Damascus, Umayyad Mosque",,"33.51171,36.30661",SY, Damascus
21293,,46.8877702,13.2825646,"Danielsberg, Kolbnitz",187360,"46.8877702,13.2825646",AT, Preisdorf
36981,Aphrodite,38.01298,23.63594,Daphni,579874,"38.01298,23.63594",GR, Chaidari
37093,,29.96008,52.915364,Darre-ye Barre,922633,"29.96008,52.915364",IR, 
37092,,30.37466,51.30114,Dav-Dokhtar,922631,"30.37466,51.30114",IR, 
43285,,33.58911,36.01913,Deir El Aachayer,,"33.58911,36.01913",LB, 
37137,Balmarcodes,33.856054,35.598053,Deir el-Qal'a,678047,"33.856054,35.598053",LB, 
42552,,25.69522,32.57848,Deir esch-Schelwit,,"25.69522,32.57848",EG, 
36911,Cybele,39.592474,29.385419,Delikli Taş,609353,"39.592474,29.385419",TR, 
22842,,38.041096,23.538311,"Demeter Temple, Elefsina",579910,"38.041096,23.538311",GR, Elefsina
